trajectory_key,source_file,created_at,attempt_index,run_signature,job_key,model,fs_enabled,fs_method,n_features,ordering,dataset_run_id,window_seconds,inner_k,outer_k,equalize_lopo_groups,use_smote,metric_key,metric_value
advanced_hybrid_1dcnn_lstm|1|10|true|true|True|select_k_best_f_classif|10|sequential|9709895809ac45abb5c87d6696ce56d4,sweeps/artifacts/runexp-mode-fs-sets-none-models-advanced_hybrid_1dcnn_ls-ws-2-ord-sequential-ik-1-ok-10-eq-true-sm-true-ds-auto-fsm-select_k_best_f_classif-fn-10__8225f30a643e.results.jsonl,2026-03-24T20:22:13+00:00,2,8225f30a643eb59b188a3349d6f5616b3f331beaa512d03d7d541cbd5ae2a15c,"{""dataset_run_id"":""9709895809ac45abb5c87d6696ce56d4"",""fs_enabled"":true,""fs_method"":""select_k_best_f_classif"",""model"":""advanced_hybrid_1dcnn_lstm"",""n_features"":10,""window_seconds"":2}",advanced_hybrid_1dcnn_lstm,True,select_k_best_f_classif,10,sequential,9709895809ac45abb5c87d6696ce56d4,2,1,10,true,true,feature_selection_mean_pairwise_jaccard,0.4
advanced_hybrid_1dcnn_lstm|5|10|true|true|True|select_k_best_f_classif|10|sequential|9709895809ac45abb5c87d6696ce56d4,sweeps/artifacts/runexp-mode-fs-sets-none-models-advanced_hybrid_1dcnn_ls-ws-2-ord-sequential-ik-5-ok-10-eq-true-sm-true-ds-auto-fsm-select_k_best_f_classif-fn-10__7a530633668b.results.jsonl,2026-03-24T20:24:19+00:00,1,7a530633668b2632a6e415508259fab05b8a1e44b094d473520deb8a6250180d,"{""dataset_run_id"":""9709895809ac45abb5c87d6696ce56d4"",""fs_enabled"":true,""fs_method"":""select_k_best_f_classif"",""model"":""advanced_hybrid_1dcnn_lstm"",""n_features"":10,""window_seconds"":2}",advanced_hybrid_1dcnn_lstm,True,select_k_best_f_classif,10,sequential,9709895809ac45abb5c87d6696ce56d4,2,5,10,true,true,feature_selection_mean_pairwise_jaccard,0.23660241874527588
advanced_hybrid_1dcnn_lstm|10|10|true|true|True|select_k_best_f_classif|10|sequential|9709895809ac45abb5c87d6696ce56d4,sweeps/artifacts/runexp-mode-fs-sets-none-models-advanced_hybrid_1dcnn_ls-ws-2-ord-sequential-ik-10-ok-10-eq-true-sm-true-ds-auto-fsm-select_k_best_f_classif-fn-10__33ead398b14e.results.jsonl,2026-03-24T20:26:48+00:00,1,33ead398b14e33bd233160183b0f5088d66c6b0f360bdf251e6de2755698ffdc,"{""dataset_run_id"":""9709895809ac45abb5c87d6696ce56d4"",""fs_enabled"":true,""fs_method"":""select_k_best_f_classif"",""model"":""advanced_hybrid_1dcnn_lstm"",""n_features"":10,""window_seconds"":2}",advanced_hybrid_1dcnn_lstm,True,select_k_best_f_classif,10,sequential,9709895809ac45abb5c87d6696ce56d4,2,10,10,true,true,feature_selection_mean_pairwise_jaccard,0.21431220261383904
advanced_hybrid_1dcnn_lstm|15|10|true|true|True|select_k_best_f_classif|10|sequential|9709895809ac45abb5c87d6696ce56d4,sweeps/artifacts/runexp-mode-fs-sets-none-models-advanced_hybrid_1dcnn_ls-ws-2-ord-sequential-ik-15-ok-10-eq-true-sm-true-ds-auto-fsm-select_k_best_f_classif-fn-10__fd1fda0bd975.results.jsonl,2026-03-24T20:29:26+00:00,1,fd1fda0bd9759094ef1ddcd679237ee43624e8c71ee4518c069830225ac03b6a,"{""dataset_run_id"":""9709895809ac45abb5c87d6696ce56d4"",""fs_enabled"":true,""fs_method"":""select_k_best_f_classif"",""model"":""advanced_hybrid_1dcnn_lstm"",""n_features"":10,""window_seconds"":2}",advanced_hybrid_1dcnn_lstm,True,select_k_best_f_classif,10,sequential,9709895809ac45abb5c87d6696ce56d4,2,15,10,true,true,feature_selection_mean_pairwise_jaccard,0.26091032038423007
advanced_hybrid_1dcnn_lstm|20|10|true|true|True|select_k_best_f_classif|10|sequential|9709895809ac45abb5c87d6696ce56d4,sweeps/artifacts/runexp-mode-fs-sets-none-models-advanced_hybrid_1dcnn_ls-ws-2-ord-sequential-ik-20-ok-10-eq-true-sm-true-ds-auto-fsm-select_k_best_f_classif-fn-10__ec61802ca3d3.results.jsonl,2026-03-24T20:32:01+00:00,1,ec61802ca3d3acdb96059085d30e800812f0a51797b67f54a864a2e9bd7faba4,"{""dataset_run_id"":""9709895809ac45abb5c87d6696ce56d4"",""fs_enabled"":true,""fs_method"":""select_k_best_f_classif"",""model"":""advanced_hybrid_1dcnn_lstm"",""n_features"":10,""window_seconds"":2}",advanced_hybrid_1dcnn_lstm,True,select_k_best_f_classif,10,sequential,9709895809ac45abb5c87d6696ce56d4,2,20,10,true,true,feature_selection_mean_pairwise_jaccard,0.3260252256196688
advanced_hybrid_1dcnn_lstm|25|10|true|true|True|select_k_best_f_classif|10|sequential|9709895809ac45abb5c87d6696ce56d4,sweeps/artifacts/runexp-mode-fs-sets-none-models-advanced_hybrid_1dcnn_ls-ws-2-ord-sequential-ik-25-ok-10-eq-true-sm-true-ds-auto-fsm-select_k_best_f_classif-fn-10__fda153f10929.results.jsonl,2026-03-24T20:34:40+00:00,1,fda153f109293db5dce462a617cf757a6437ebcfa15b7b8af6457a1fd622f012,"{""dataset_run_id"":""9709895809ac45abb5c87d6696ce56d4"",""fs_enabled"":true,""fs_method"":""select_k_best_f_classif"",""model"":""advanced_hybrid_1dcnn_lstm"",""n_features"":10,""window_seconds"":2}",advanced_hybrid_1dcnn_lstm,True,select_k_best_f_classif,10,sequential,9709895809ac45abb5c87d6696ce56d4,2,25,10,true,true,feature_selection_mean_pairwise_jaccard,0.3533876425049364
advanced_hybrid_1dcnn_lstm|30|10|true|true|True|select_k_best_f_classif|10|sequential|9709895809ac45abb5c87d6696ce56d4,sweeps/artifacts/runexp-mode-fs-sets-none-models-advanced_hybrid_1dcnn_ls-ws-2-ord-sequential-ik-30-ok-10-eq-true-sm-true-ds-auto-fsm-select_k_best_f_classif-fn-10__30e52ccc00cb.results.jsonl,2026-03-24T20:37:21+00:00,1,30e52ccc00cb31940fbc1a94c99772d18ca68d66a4726caa9e7b9be2b9a72e10,"{""dataset_run_id"":""9709895809ac45abb5c87d6696ce56d4"",""fs_enabled"":true,""fs_method"":""select_k_best_f_classif"",""model"":""advanced_hybrid_1dcnn_lstm"",""n_features"":10,""window_seconds"":2}",advanced_hybrid_1dcnn_lstm,True,select_k_best_f_classif,10,sequential,9709895809ac45abb5c87d6696ce56d4,2,30,10,true,true,feature_selection_mean_pairwise_jaccard,0.36264941618392404
advanced_hybrid_1dcnn_lstm|35|10|true|true|True|select_k_best_f_classif|10|sequential|9709895809ac45abb5c87d6696ce56d4,sweeps/artifacts/runexp-mode-fs-sets-none-models-advanced_hybrid_1dcnn_ls-ws-2-ord-sequential-ik-35-ok-10-eq-true-sm-true-ds-auto-fsm-select_k_best_f_classif-fn-10__204e60e575bb.results.jsonl,2026-03-24T20:40:22+00:00,1,204e60e575bb17964420d1b27d7fb0209c9e3c3adef480009ac0e248baa073e2,"{""dataset_run_id"":""9709895809ac45abb5c87d6696ce56d4"",""fs_enabled"":true,""fs_method"":""select_k_best_f_classif"",""model"":""advanced_hybrid_1dcnn_lstm"",""n_features"":10,""window_seconds"":2}",advanced_hybrid_1dcnn_lstm,True,select_k_best_f_classif,10,sequential,9709895809ac45abb5c87d6696ce56d4,2,35,10,true,true,feature_selection_mean_pairwise_jaccard,0.3809471648292542
advanced_hybrid_1dcnn_lstm|40|10|true|true|True|select_k_best_f_classif|10|sequential|9709895809ac45abb5c87d6696ce56d4,sweeps/artifacts/runexp-mode-fs-sets-none-models-advanced_hybrid_1dcnn_ls-ws-2-ord-sequential-ik-40-ok-10-eq-true-sm-true-ds-auto-fsm-select_k_best_f_classif-fn-10__82136e4ba5a5.results.jsonl,2026-03-24T20:43:06+00:00,1,82136e4ba5a58e06af014c3ac4bae7960bbdecfdd8e90b7d8a407c51b0756b16,"{""dataset_run_id"":""9709895809ac45abb5c87d6696ce56d4"",""fs_enabled"":true,""fs_method"":""select_k_best_f_classif"",""model"":""advanced_hybrid_1dcnn_lstm"",""n_features"":10,""window_seconds"":2}",advanced_hybrid_1dcnn_lstm,True,select_k_best_f_classif,10,sequential,9709895809ac45abb5c87d6696ce56d4,2,40,10,true,true,feature_selection_mean_pairwise_jaccard,0.3952091295881725
advanced_hybrid_1dcnn_lstm|45|10|true|true|True|select_k_best_f_classif|10|sequential|9709895809ac45abb5c87d6696ce56d4,sweeps/artifacts/runexp-mode-fs-sets-none-models-advanced_hybrid_1dcnn_ls-ws-2-ord-sequential-ik-45-ok-10-eq-true-sm-true-ds-auto-fsm-select_k_best_f_classif-fn-10__d7ea9f2be445.results.jsonl,2026-03-24T21:36:54+00:00,1,d7ea9f2be445092bc1eb6cdf2f23ffb189992b796856e4fcdb9eb5bd1aeb2d4f,"{""dataset_run_id"":""9709895809ac45abb5c87d6696ce56d4"",""fs_enabled"":true,""fs_method"":""select_k_best_f_classif"",""model"":""advanced_hybrid_1dcnn_lstm"",""n_features"":10,""window_seconds"":2}",advanced_hybrid_1dcnn_lstm,True,select_k_best_f_classif,10,sequential,9709895809ac45abb5c87d6696ce56d4,2,45,10,true,true,feature_selection_mean_pairwise_jaccard,0.4066443723689421
